,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,date
55,"Joinville, SC, Brasil",2023-08-03,30.8,12.8,20.1,30.7,12.8,20.1,15.3,78.6,0.1,100,4.17,rain,0,0,16.6,17.5,121.2,1018.2,27.1,11.3,183.5,15.8,7,10,2023-08-03T06:53:36,2023-08-03T17:49:57,0.56,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-08-03
56,"Joinville, SC, Brasil",2023-08-04,25.0,15.9,20.1,25.0,15.9,20.1,17.6,87.1,0.5,100,12.5,rain,0,0,14.4,13.0,22.3,1018.9,63.4,11.4,157.3,13.7,7,10,2023-08-04T06:52:57,2023-08-04T17:50:26,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,83926099999,SBJV",2023-08-04
57,"Joinville, SC, Brasil",2023-08-05,23.0,13.0,18.3,23.0,13.0,18.3,16.4,89.5,0.0,0,0.0,,0,0,10.1,20.0,137.2,1019.8,22.9,11.3,177.7,15.3,7,10,2023-08-05T06:52:16,2023-08-05T17:50:55,0.63,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-08-05
58,"Joinville, SC, Brasil",2023-08-06,24.0,16.0,19.5,24.0,16.0,19.5,17.2,87.1,0.0,0,0.0,,0,0,13.7,9.7,343.1,1018.5,56.3,11.8,186.5,16.1,7,10,2023-08-06T06:51:34,2023-08-06T17:51:24,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-08-06
59,"Joinville, SC, Brasil",2023-08-07,29.6,14.2,19.6,32.0,14.2,19.8,17.7,89.7,2.1,100,25.0,rain,0,0,60.7,36.0,125.9,1017.2,51.1,9.7,150.3,13.1,7,10,2023-08-07T06:50:52,2023-08-07T17:51:53,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-08-07
60,"Joinville, SC, Brasil",2023-08-08,17.7,15.1,16.5,17.7,15.1,16.5,15.4,93.4,2.3,100,58.33,rain,0,0,32.0,16.1,185.4,1027.1,99.9,8.3,47.2,3.9,2,10,2023-08-08T06:50:08,2023-08-08T17:52:22,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-08-08
61,"Joinville, SC, Brasil",2023-08-09,18.0,15.1,16.7,18.0,15.1,16.7,16.3,97.8,18.0,100,79.17,rain,0,0,37.4,11.1,282.8,1023.4,92.3,7.5,27.2,2.4,2,10,2023-08-09T06:49:23,2023-08-09T17:52:51,0.77,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-08-09
62,"Joinville, SC, Brasil",2023-08-10,21.8,17.0,18.6,21.8,17.0,18.6,18.2,97.9,8.0,100,50.0,rain,0,0,25.6,7.5,220.7,1017.0,94.2,3.5,54.4,4.6,3,10,2023-08-10T06:48:37,2023-08-10T17:53:19,0.8,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,82798199999,86948099999,86947099999,SBJV",2023-08-10
63,"Joinville, SC, Brasil",2023-08-11,23.7,16.5,19.4,23.7,16.5,19.4,16.7,85.5,0.4,100,12.5,rain,0,0,46.4,27.1,283.2,1013.9,73.2,9.4,42.0,3.6,2,15,2023-08-11T06:47:50,2023-08-11T17:53:47,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,82798199999,86947099999,SBJV",2023-08-11
64,"Joinville, SC, Brasil",2023-08-12,19.0,14.2,16.8,19.0,14.2,16.8,15.8,94.4,5.7,100,58.33,rain,0,0,23.8,14.0,134.6,1018.1,73.0,10.4,41.8,3.5,3,10,2023-08-12T06:47:02,2023-08-12T17:54:16,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,82798199999,86947099999,SBJV",2023-08-12
