,date,start_time,name,type,month,year,dayofyear,weekday,distance,max_heartrate,average_heartrate,average_speed,max_speed,total_elevation_gain,time_min,tempmax,tempmin,temp,conditions,description,icon
24,2024-02-27,07:24:55,Treinamento com peso matinal,WeightTraining,February,2024,58,Tuesday,0.0,108.0,87.4,0.0,0.0,0.0,49.77,29.9,22.7,25.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
25,2024-02-26,21:41:57,Corrida noturna,Run,February,2024,57,Monday,1.85,167.0,130.1,6.11,0.0,0.0,18.17,27.1,23.1,24.7,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
26,2024-02-26,20:46:49,Treinamento com peso ao entardecer,WeightTraining,February,2024,57,Monday,0.0,110.0,85.7,0.0,0.0,0.0,51.55,27.1,23.1,24.7,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
27,2024-02-24,13:21:52,Corrida da tarde,Run,February,2024,55,Saturday,2.32,177.0,134.0,6.8,0.0,0.0,20.47,31.9,22.7,26.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
28,2024-02-24,12:30:19,Treinamento com peso na hora do almoço,WeightTraining,February,2024,55,Saturday,0.0,119.0,95.1,0.0,0.0,0.0,51.33,31.9,22.7,26.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
29,2024-02-22,07:30:47,Treinamento com peso matinal,WeightTraining,February,2024,53,Thursday,0.0,116.0,94.6,0.0,0.0,0.0,56.65,27.9,20.7,24.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
30,2024-02-21,07:30:00,Treinamento com peso matinal,WeightTraining,February,2024,52,Wednesday,0.0,114.0,92.2,0.0,0.0,0.0,47.28,24.0,21.3,22.4,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
31,2024-02-20,07:26:35,Treinamento com peso matinal,WeightTraining,February,2024,51,Tuesday,0.0,117.0,88.8,0.0,0.0,0.0,48.58,26.9,22.5,23.7,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
32,2024-02-19,20:34:20,Treinamento com peso ao entardecer,WeightTraining,February,2024,50,Monday,0.0,114.0,92.2,0.0,0.0,0.0,75.82,29.9,19.9,25.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
33,2024-02-16,20:11:20,Corrida ao entardecer,Run,February,2024,47,Friday,1.54,163.0,98.3,1.05,0.0,0.0,87.5,26.0,20.1,22.4,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
34,2024-02-16,19:16:38,Treinamento com peso ao entardecer,WeightTraining,February,2024,47,Friday,0.0,115.0,91.9,0.0,0.0,0.0,54.52,26.0,20.1,22.4,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
35,2024-02-15,07:23:43,Treinamento com peso matinal,WeightTraining,February,2024,46,Thursday,0.0,126.0,90.7,0.0,0.0,0.0,77.1,24.0,19.7,21.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
36,2024-02-14,07:31:13,Treinamento com peso matinal,WeightTraining,February,2024,45,Wednesday,0.0,127.0,95.8,0.0,0.0,0.0,56.7,24.1,20.0,22.3,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
37,2024-02-14,07:19:30,Corrida matinal,Run,February,2024,45,Wednesday,0.8,166.0,109.4,4.13,0.0,0.0,11.63,24.1,20.0,22.3,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
38,2024-02-13,19:56:55,Corrida ao entardecer,Run,February,2024,44,Tuesday,2.18,164.0,107.1,5.26,10.81,2.3,27.22,38.6,24.0,28.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
39,2024-02-13,08:19:54,Treinamento com peso matinal,WeightTraining,February,2024,44,Tuesday,0.0,128.0,93.4,0.0,0.0,0.0,74.42,38.6,24.0,28.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
40,2024-02-12,15:43:24,Corrida da tarde,Run,February,2024,43,Monday,1.5,141.0,122.8,4.86,0.0,0.0,18.52,34.7,21.5,28.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
41,2024-02-12,14:45:21,Treinamento com peso vespertino,WeightTraining,February,2024,43,Monday,0.0,128.0,99.0,0.0,0.0,0.0,57.93,34.7,21.5,28.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
42,2024-02-09,07:27:08,Treinamento com peso matinal,WeightTraining,February,2024,40,Friday,0.0,125.0,86.9,0.0,0.0,0.0,60.0,31.9,23.0,27.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
43,2024-02-08,20:43:28,Treinamento com peso ao entardecer,WeightTraining,February,2024,39,Thursday,0.0,115.0,93.4,0.0,0.0,0.0,45.9,32.8,23.7,27.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
44,2024-02-07,12:11:21,Treinamento com peso na hora do almoço,WeightTraining,February,2024,38,Wednesday,0.0,115.0,93.1,0.0,0.0,0.0,59.53,31.8,23.1,27.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
45,2024-02-05,20:39:21,Treinamento com peso ao entardecer,WeightTraining,February,2024,36,Monday,0.0,129.0,108.6,0.0,0.0,0.0,58.22,31.9,20.0,26.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
46,2024-02-05,20:15:34,Corrida ao entardecer,Run,February,2024,36,Monday,1.66,154.0,106.1,4.2,0.0,0.0,23.7,31.9,20.0,26.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
47,2024-02-02,21:12:37,Treinamento com peso noturno,WeightTraining,February,2024,33,Friday,0.0,128.0,94.0,0.0,0.0,0.0,53.1,26.0,21.4,23.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
48,2024-02-01,07:17:51,Treinamento com peso matinal,WeightTraining,February,2024,32,Thursday,0.0,125.0,97.2,0.0,0.0,0.0,61.02,28.0,22.6,25.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
49,2024-01-31,07:44:42,Treinamento com peso matinal,WeightTraining,January,2024,31,Wednesday,0.0,129.0,96.3,0.0,0.0,0.0,43.58,28.9,22.2,25.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
50,2024-01-30,07:19:50,Treinamento com peso matinal,WeightTraining,January,2024,30,Tuesday,0.0,124.0,98.6,0.0,0.0,0.0,62.32,30.8,19.0,25.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
51,2024-01-26,07:25:36,Corrida matinal,Run,January,2024,26,Friday,3.6,190.0,129.3,5.23,0.0,0.0,41.28,23.8,17.1,19.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
52,2024-01-25,07:27:37,Treinamento com peso matinal,WeightTraining,January,2024,25,Thursday,0.0,126.0,95.8,0.0,0.0,0.0,61.7,24.9,18.3,20.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
53,2024-01-24,12:15:54,Treinamento com peso na hora do almoço,WeightTraining,January,2024,24,Wednesday,0.0,127.0,95.6,0.0,0.0,0.0,47.68,22.9,19.0,20.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
54,2024-01-23,20:16:52,Treinamento com peso ao entardecer,WeightTraining,January,2024,23,Tuesday,0.0,123.0,91.0,0.0,0.0,0.0,64.87,22.9,20.0,21.0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
