,date,start_time,name,type,month,year,dayofyear,weekday,distance,max_heartrate,average_heartrate,average_speed,max_speed,total_elevation_gain,time_min
47,2024-02-09,07:27:08,Treinamento com peso matinal,WeightTraining,February,2024,40,Friday,0.0,125.0,86.9,0.0,0.0,0.0,60.0
48,2024-02-08,20:43:28,Treinamento com peso ao entardecer,WeightTraining,February,2024,39,Thursday,0.0,115.0,93.4,0.0,0.0,0.0,45.9
49,2024-02-07,12:11:21,Treinamento com peso na hora do almoço,WeightTraining,February,2024,38,Wednesday,0.0,115.0,93.1,0.0,0.0,0.0,59.53
50,2024-02-05,20:39:21,Treinamento com peso ao entardecer,WeightTraining,February,2024,36,Monday,0.0,129.0,108.6,0.0,0.0,0.0,58.22
51,2024-02-05,20:15:34,Corrida ao entardecer,Run,February,2024,36,Monday,1.66,154.0,106.1,4.2,0.0,0.0,23.7
52,2024-02-02,21:12:37,Treinamento com peso noturno,WeightTraining,February,2024,33,Friday,0.0,128.0,94.0,0.0,0.0,0.0,53.1
53,2024-02-01,07:17:51,Treinamento com peso matinal,WeightTraining,February,2024,32,Thursday,0.0,125.0,97.2,0.0,0.0,0.0,61.02
54,2024-01-31,07:44:42,Treinamento com peso matinal,WeightTraining,January,2024,31,Wednesday,0.0,129.0,96.3,0.0,0.0,0.0,43.58
55,2024-01-30,07:19:50,Treinamento com peso matinal,WeightTraining,January,2024,30,Tuesday,0.0,124.0,98.6,0.0,0.0,0.0,62.32
57,2024-01-26,07:25:36,Corrida matinal,Run,January,2024,26,Friday,3.6,190.0,129.3,5.23,0.0,0.0,41.28
58,2024-01-25,07:27:37,Treinamento com peso matinal,WeightTraining,January,2024,25,Thursday,0.0,126.0,95.8,0.0,0.0,0.0,61.7
59,2024-01-24,12:15:54,Treinamento com peso na hora do almoço,WeightTraining,January,2024,24,Wednesday,0.0,127.0,95.6,0.0,0.0,0.0,47.68
60,2024-01-23,20:16:52,Treinamento com peso ao entardecer,WeightTraining,January,2024,23,Tuesday,0.0,123.0,91.0,0.0,0.0,0.0,64.87
61,2024-01-19,19:55:18,Treinamento com peso ao entardecer,WeightTraining,January,2024,19,Friday,0.0,133.0,101.9,0.0,0.0,0.0,46.52
62,2024-01-17,20:18:57,Treinamento com peso ao entardecer,WeightTraining,January,2024,17,Wednesday,0.0,129.0,99.6,0.0,0.0,0.0,55.37
63,2024-01-16,07:20:28,Corrida matinal,Run,January,2024,16,Tuesday,4.39,179.0,125.1,6.69,0.0,0.0,39.35
64,2024-01-15,07:21:24,Treinamento com peso matinal,WeightTraining,January,2024,15,Monday,0.0,130.0,95.5,0.0,0.0,0.0,55.47
65,2024-01-13,15:57:15,Corrida da tarde,Run,January,2024,13,Saturday,5.53,159.0,123.8,6.41,31.99,5.3,52.45
66,2024-01-12,08:19:53,Treinamento com peso matinal,WeightTraining,January,2024,12,Friday,0.0,132.0,105.6,0.0,0.0,0.0,52.92
67,2024-01-11,16:46:33,Treinamento com peso vespertino,WeightTraining,January,2024,11,Thursday,0.0,132.0,100.8,0.0,0.0,0.0,53.78
68,2024-01-10,16:25:43,Corrida da tarde,Run,January,2024,10,Wednesday,3.51,152.0,114.7,6.48,0.0,0.0,32.5
69,2024-01-10,15:25:34,Treinamento com peso vespertino,WeightTraining,January,2024,10,Wednesday,0.0,126.0,99.5,0.0,0.0,0.0,59.8
71,2024-01-05,17:49:09,Corrida da tarde,Run,January,2024,5,Friday,2.27,168.0,120.2,6.21,12.66,2.9,22.75
72,2024-01-04,12:14:37,Treinamento com peso na hora do almoço,WeightTraining,January,2024,4,Thursday,0.0,125.0,90.6,0.0,0.0,0.0,42.85
73,2024-01-03,20:16:39,Treinamento com peso ao entardecer,WeightTraining,January,2024,3,Wednesday,0.0,124.0,92.6,0.0,0.0,0.0,52.07
74,2024-01-02,19:50:23,Corrida ao entardecer,Run,January,2024,2,Tuesday,3.8,160.0,116.9,5.59,18.61,8.9,41.45
75,2023-12-13,21:02:21,Treinamento com peso noturno,WeightTraining,December,2023,347,Wednesday,0.0,109.0,87.7,0.0,0.0,0.0,44.32
76,2023-12-08,21:06:28,Treinamento com peso noturno,WeightTraining,December,2023,342,Friday,0.0,119.0,98.1,0.0,0.0,0.0,34.37
